# File generated by CMD 3.5 (http://stev.oapd.inaf.it/cmd) on Mon Oct 11 13:38:36 CEST 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: Gaia DR2 + Tycho2 + 2MASS (all Vegamags, Gaia passbands from Weiler 2018)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPbrmag  G_BPftmag  G_RPmag  B_Tmag  V_Tmag  Jmag    Hmag    Ksmag
0.0056 -0.43462 10.11394 0.7966982126 2.4175643921    0.796 -0.040  3.7649  4.390    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.09e-14      0.00 8.009e-01 1.947e-01 7.831e-04 2.145e-04 1.953e-03 -1.000 4.472e-03 4.869 4.776 5.089 5.113 4.289 5.639 5.023 3.758 3.441 3.394
0.0056 -0.43462 10.11394 0.7992265821 2.4184536934    0.798 -0.027  3.7658  4.382    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -5.26e-14      0.00 8.014e-01 1.942e-01 7.815e-04 2.141e-04 1.949e-03 -1.000 4.453e-03 4.836 4.743 5.054 5.078 4.259 5.600 4.989 3.730 3.414 3.368
0.0056 -0.43462 10.11394 0.8007743359 2.4189951420    0.800 -0.018  3.7663  4.377    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -4.85e-14      0.00 8.017e-01 1.938e-01 7.803e-04 2.138e-04 1.946e-03 -1.000 4.438e-03 4.816 4.723 5.033 5.057 4.239 5.577 4.968 3.712 3.397 3.351
0.0056 -0.43462 10.11394 0.8081027865 2.4215257168    0.807  0.021  3.7684  4.350    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -5.96e-14      0.00 8.035e-01 1.921e-01 7.744e-04 2.122e-04 1.933e-03 -1.000 4.410e-03 4.719 4.624 4.930 4.953 4.146 5.464 4.866 3.625 3.315 3.270
0.0056 -0.43462 10.11394 0.8151258230 2.4239017963    0.814  0.058  3.7701  4.323    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -7.27e-14      0.00 8.052e-01 1.904e-01 7.689e-04 2.107e-04 1.919e-03 -1.000 4.365e-03 4.624 4.529 4.831 4.854 4.055 5.357 4.768 3.539 3.232 3.188
0.0056 -0.43462 10.11394 0.8249770403 2.4271564484    0.824  0.114  3.7720  4.280    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -9.73e-14      0.00 8.063e-01 1.894e-01 7.657e-04 2.099e-04 1.912e-03 -1.000 4.348e-03 4.485 4.389 4.687 4.710 3.920 5.203 4.625 3.409 3.107 3.064
0.0056 -0.43462 10.11394 0.8283683658 2.4282562733    0.827  0.134  3.7726  4.264    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -1.96e-19      0.00 8.063e-01 1.894e-01 7.659e-04 2.099e-04 1.912e-03 -1.000 4.368e-03 4.435 4.339 4.636 4.658 3.871 5.149 4.574 3.362 3.061 3.018
0.0056 -0.43462 10.11394 0.8363852501 2.4308154583    0.835  0.185  3.7727  4.217    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -4.55e-17      0.00 8.056e-01 1.900e-01 7.688e-04 2.107e-04 1.919e-03 -1.000 4.400e-03 4.307 4.212 4.507 4.530 3.745 5.019 4.446 3.235 2.934 2.892
0.0056 -0.43462 10.11394 0.8447170258 2.4334161282    0.843  0.242  3.7713  4.159    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -1.32e-14      0.00 8.035e-01 1.920e-01 7.784e-04 2.133e-04 1.944e-03 -1.000 4.406e-03 4.165 4.070 4.368 4.391 3.600 4.883 4.306 3.087 2.783 2.739
0.0056 -0.43462 10.11394 0.8485962152 2.4346070290    0.847  0.270  3.7701  4.129    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -1.86e-13      0.00 8.018e-01 1.938e-01 7.863e-04 2.155e-04 1.964e-03 -1.000 4.411e-03 4.096 4.002 4.302 4.324 3.530 4.821 4.239 3.012 2.705 2.662
