# File generated by CMD 3.5 (http://stev.oapd.inaf.it/cmd) on Mon Oct 11 12:25:36 CEST 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Weiler 2018)
# Attention: photometry includes extinction of Av=0.3, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPbrmag  G_BPftmag  G_RPmag
0.02 0.14251 7.85000 0.7005386353 2.3781826496    0.701 -0.785  3.6449  4.600    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.24e-14      0.00 6.960e-01 2.840e-01 3.594e-03 9.700e-04 8.797e-03 -1.000 2.000e-02 6.732 7.165 7.921 7.962 6.317
0.02 0.14251 7.85000 0.7077564001 2.3815681934    0.708 -0.765  3.6514  4.610    0  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.27e-14      0.00 6.960e-01 2.840e-01 3.587e-03 9.698e-04 8.797e-03 -1.000 2.000e-02 6.682 7.083 7.810 7.851 6.252
0.02 0.14251 7.85000 0.7136959434 2.3842952251    0.714 -0.755  3.6550  4.618    0  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -1.29e-14      0.00 6.961e-01 2.839e-01 3.582e-03 9.696e-04 8.797e-03 -1.000 2.000e-02 6.656 7.041 7.753 7.794 6.220
0.02 0.14251 7.85000 0.7500000000 2.3998889923    0.750 -0.714  3.6699  4.659    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.33e-14      0.00 6.961e-01 2.839e-01 3.548e-03 9.687e-04 8.798e-03 -1.000 2.000e-02 6.555 6.877 7.532 7.572 6.095
0.02 0.14251 7.85000 0.8000000119 2.4187245369    0.800 -0.604  3.6863  4.642    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.68e-14      0.00 6.961e-01 2.839e-01 3.547e-03 9.686e-04 8.797e-03 -1.000 2.000e-02 6.280 6.545 7.144 7.184 5.805
0.02 0.14251 7.85000 0.8458470106 2.4337642193    0.845 -0.512  3.7002  4.630    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.05e-14      0.00 6.962e-01 2.839e-01 3.547e-03 9.685e-04 8.796e-03 -1.000 1.991e-02 6.051 6.276 6.833 6.871 5.569
0.02 0.14251 7.85000 0.8500000238 2.4350347519    0.850 -0.503  3.7016  4.628    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.09e-14      0.00 6.962e-01 2.839e-01 3.547e-03 9.685e-04 8.796e-03 -1.000 1.991e-02 6.027 6.249 6.801 6.840 5.545
0.02 0.14251 7.85000 0.8905530572 2.4467282295    0.890 -0.411  3.7147  4.609    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.57e-14      0.00 6.962e-01 2.838e-01 3.546e-03 9.683e-04 8.795e-03 -1.000 2.000e-02 5.797 5.989 6.506 6.543 5.315
0.02 0.14251 7.85000 0.8999999762 2.4492788315    0.899 -0.390  3.7178  4.605    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1  -2.7e-14      0.00 6.962e-01 2.838e-01 3.547e-03 9.683e-04 8.795e-03 -1.000 2.000e-02 5.744 5.930 6.439 6.476 5.262
0.02 0.14251 7.85000 0.9284492731 2.4566004276    0.928 -0.328  3.7260  4.590    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.11e-14      0.00 6.962e-01 2.838e-01 3.546e-03 9.682e-04 8.794e-03 -1.000 2.000e-02 5.591 5.762 6.250 6.287 5.111
0.02 0.14251 7.85000 0.9499999881 2.4618122578    0.950 -0.283  3.7325  4.580    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.45e-14      0.00 6.962e-01 2.838e-01 3.546e-03 9.682e-04 8.794e-03 -1.000 2.000e-02 5.477 5.637 6.111 6.146 5.001
0.02 0.14251 7.85000 0.9650101066 2.4652845860    0.965 -0.250  3.7368  4.571    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.73e-14      0.00 6.963e-01 2.837e-01 3.545e-03 9.681e-04 8.793e-03 -1.000 1.997e-02 5.394 5.548 6.010 6.045 4.920
0.02 0.14251 7.85000 1.0000000000 2.4729156494    1.000 -0.178  3.7462  4.553    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -4.42e-14      0.00 6.963e-01 2.837e-01 3.545e-03 9.680e-04 8.793e-03 -1.000 1.995e-02 5.216 5.358 5.798 5.831 4.752
0.02 0.14251 7.85000 1.0499999523 2.4828116894    1.050 -0.075  3.7591  4.522    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -5.25e-14      0.00 6.964e-01 2.836e-01 3.544e-03 9.678e-04 8.790e-03 -1.000 2.000e-02 4.957 5.090 5.499 5.530 4.512
0.02 0.14251 7.85000 1.1000000238 2.4916803837    1.099  0.024  3.7711  4.492    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -6.17e-14      0.00 6.965e-01 2.835e-01 3.543e-03 9.675e-04 8.788e-03 -1.000 2.000e-02 4.710 4.838 5.217 5.247 4.287
0.02 0.14251 7.85000 1.1499999762 2.4996678829    1.149  0.110  3.7801  4.461    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -6.97e-14      0.00 6.966e-01 2.834e-01 3.542e-03 9.671e-04 8.784e-03 -1.000 1.997e-02 4.495 4.620 4.979 5.007 4.090
0.02 0.14251 7.85000 1.2000000477 2.5068950653    1.200  0.206  3.7908  4.426    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -8.03e-14      0.00 6.969e-01 2.831e-01 3.539e-03 9.663e-04 8.777e-03 -1.000 1.996e-02 4.254 4.380 4.715 4.742 3.875
0.02 0.14251 7.85000 1.2320226431 2.5111708641    1.232  0.258  3.7958  4.405    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -8.56e-14      0.00 6.979e-01 2.823e-01 3.530e-03 9.638e-04 8.754e-03 -1.000 1.986e-02 4.124 4.251 4.576 4.601 3.757
0.02 0.14251 7.85000 1.2400851250 2.5122075081    1.240  0.284  3.7998  4.399    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -8.98e-14      0.00 6.981e-01 2.820e-01 3.526e-03 9.629e-04 8.747e-03 -1.000 1.987e-02 4.060 4.189 4.504 4.529 3.704
0.02 0.14251 7.85000 1.2418875694 2.5124371052    1.242  0.289  3.8008  4.399    0  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -9.06e-14      0.00 6.981e-01 2.820e-01 3.526e-03 9.630e-04 8.748e-03 -1.000 1.990e-02 4.049 4.177 4.491 4.515 3.695
0.02 0.14251 7.85000 1.2500000000 2.5134611130    1.250  0.299  3.8022  4.397    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -9.12e-14      0.00 6.969e-01 2.831e-01 3.539e-03 9.664e-04 8.778e-03 -1.000 1.997e-02 4.022 4.151 4.462 4.486 3.672
0.02 0.14251 7.85000 1.2999999523 2.5194499493    1.300  0.382  3.8112  4.367    0  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -9.92e-14      0.00 6.970e-01 2.831e-01 3.539e-03 9.664e-04 8.778e-03 -1.000 1.997e-02 3.815 3.948 4.239 4.262 3.489
0.02 0.14251 7.85000 1.3500000238 2.5249314308    1.350  0.461  3.8204  4.341    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.05e-13      0.00 6.970e-01 2.830e-01 3.539e-03 9.662e-04 8.777e-03 -1.000 1.996e-02 3.618 3.754 4.028 4.050 3.316
0.02 0.14251 7.85000 1.3999999762 2.5299651623    1.400  0.534  3.8298  4.321    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.08e-13      0.00 6.970e-01 2.830e-01 3.539e-03 9.664e-04 8.777e-03 -1.000 1.996e-02 3.435 3.573 3.831 3.852 3.156
0.02 0.14251 7.85000 1.4500000477 2.5346016884    1.450  0.603  3.8390  4.304    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.06e-13      0.00 6.970e-01 2.830e-01 3.538e-03 9.662e-04 8.777e-03 -1.000 1.996e-02 3.262 3.404 3.646 3.665 3.008
0.02 0.14251 7.85000 1.5000000000 2.5388846397    1.500  0.669  3.8489  4.293    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -9.79e-14      0.00 6.971e-01 2.830e-01 3.538e-03 9.661e-04 8.776e-03 -1.000 1.995e-02 3.097 3.244 3.470 3.488 2.871
0.02 0.14251 7.85000 1.5499999523 2.5428512096    1.550  0.732  3.8600  4.288    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -8.41e-14      0.00 6.972e-01 2.829e-01 3.537e-03 9.660e-04 8.774e-03 -1.000 1.996e-02 2.940 3.093 3.300 3.317 2.745
